,Plot,height_95p,canopy_cover_50p,canopy_cover_75p,plot_volume2,VCI,CAP,LPI,NDVI705,GNDVI,EVI,VOG2,MCARI2,MTVI,PBI,EVI2,GDD,Datt3,DCNI,LAI,PREC,date,hybrid_or_inbred,pedigree,nitrogen_treatment
67,608,1.0095,49.44,24.05,0.589278592,0.693034064,87.7870528,0.000474365,0.624435,0.6794,0.499285,-0.298225,0.762545,0.59223,7.19586,0.61422,1012,5.33957,32.50174,2.825,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
68,609,0.944,44.32,21.48,0.3803965,0.77691091,89.31595235,0.000518342,0.602195,0.66258,0.48058,-0.281875,0.740145,0.58165,6.790425,0.601575,1012,4.97616,31.39658,2.669,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,175
69,610,0.971,44.86,22.5,0.257725506,0.804841609,85.90100034,0.000575567,0.60943,0.67345,0.483735,-0.292885,0.74634,0.58314,7.01191,0.605225,1012,5.047705,32.111615,3.009,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
70,611,1.076,55.99,28.7,0.446015779,0.871775241,87.7944182,0.000539017,0.643585,0.692605,0.51345,-0.32712,0.789385,0.605785,7.646265,0.627815,1012,5.63442,33.908295,2.403,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,135
71,612,1.096,56.55,28.55,0.623144785,0.727324812,87.82280899,0.000497838,0.654955,0.70276,0.53212,-0.337775,0.81168,0.62411,7.951495,0.645455,1012,5.884385,33.3731,3.228,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
72,701,1.099,55.08,25.68,0.332651023,0.668039685,86.10818358,0.000597238,0.657295,0.710185,0.48758,-0.352815,0.77853,0.530655,8.344695,0.581365,1012,5.98904,38.06726,2.611,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,175
73,702,1.0475,57.49,30.01,0.39251573,0.800514978,86.66933929,0.000583849,0.637375,0.693585,0.421845,-0.318805,0.718175,0.43365,7.616095,0.500925,1012,5.493245,39.788585,2.262,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
74,703,0.859,40.42,18.91,0.302731508,0.789630161,86.97289421,0.000526587,0.559895,0.62694,0.423855,-0.207865,0.656885,0.50234,5.62065,0.530695,1012,4.20478,27.88819,2.628,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,0
75,704,0.846,37.56,17.2,0.425588788,0.735751834,86.51350854,0.00048412,0.544025,0.6124,0.4189,-0.19548,0.638805,0.50881,5.36159,0.530515,1012,4.017245,27.22967,2.16,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
76,705,0.855,37.38,18.4,0.264405007,0.70077562,87.29673067,0.000502591,0.56412,0.63649,0.419165,-0.251005,0.65262,0.4969,6.127615,0.531915,1012,4.43223,33.25911,2.372,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,135
